lati,long,time
49.107,3.0022,2.02e+09
49.107,2.8722,2.02e+09
49.107,2.7422,2.02e+09
49.107,2.6122,2.02e+09
49.107,2.4822,2.02e+09
49.107,2.3522,2.02e+09
49.107,2.2222,2.02e+09
49.107,2.0922,2.02e+09
49.107,1.9622,2.02e+09
49.107,1.8322,2.02e+09
49.057,3.0022,2.02e+09
49.057,2.8722,2.02e+09
49.057,2.7422,2.02e+09
49.057,2.6122,2.02e+09
49.057,2.4822,2.02e+09
49.057,2.3522,2.02e+09
49.057,2.2222,2.02e+09
49.057,2.0922,2.02e+09
49.057,1.9622,2.02e+09
49.057,1.8322,2.02e+09
49.007,3.0022,2.02e+09
49.007,2.8722,2.02e+09
49.007,2.7422,2.02e+09
49.007,2.6122,2.02e+09
49.007,2.4822,2.02e+09
49.007,2.3522,2.02e+09
49.007,2.2222,2.02e+09
49.007,2.0922,2.02e+09
49.007,1.9622,2.02e+09
49.007,1.8322,2.02e+09
48.957,3.0022,2.02e+09
48.957,2.8722,2.02e+09
48.957,2.7422,2.02e+09
48.957,2.6122,2.02e+09
48.957,2.4822,2.02e+09
48.957,2.3522,2.02e+09
48.957,2.2222,2.02e+09
48.957,2.0922,2.02e+09
48.957,1.9622,2.02e+09
48.957,1.8322,2.02e+09
48.907,3.0022,2.02e+09
48.907,2.8722,2.02e+09
48.907,2.7422,2.02e+09
48.907,2.6122,2.02e+09
48.907,2.4822,2.02e+09
48.907,2.3522,2.02e+09
48.907,2.2222,2.02e+09
48.907,2.0922,2.02e+09
48.907,1.9622,2.02e+09
48.907,1.8322,2.02e+09
48.857,3.0022,2.02e+09
48.857,2.8722,2.02e+09
48.857,2.7422,2.02e+09
48.857,2.6122,2.02e+09
48.857,2.4822,2.02e+09
48.857,2.3522,2.02e+09
48.857,2.2222,2.02e+09
48.857,2.0922,2.02e+09
48.857,1.9622,2.02e+09
48.857,1.8322,2.02e+09
48.807,3.0022,2.02e+09
48.807,2.8722,2.02e+09
48.807,2.7422,2.02e+09
48.807,2.6122,2.02e+09
48.807,2.4822,2.02e+09
48.807,2.3522,2.02e+09
48.807,2.2222,2.02e+09
48.807,2.0922,2.02e+09
48.807,1.9622,2.02e+09
48.807,1.8322,2.02e+09
48.757,3.0022,2.02e+09
48.757,2.8722,2.02e+09
48.757,2.7422,2.02e+09
48.757,2.6122,2.02e+09
48.757,2.4822,2.02e+09
48.757,2.3522,2.02e+09
48.757,2.2222,2.02e+09
48.757,2.0922,2.02e+09
48.757,1.9622,2.02e+09
48.757,1.8322,2.02e+09
48.707,3.0022,2.02e+09
48.707,2.8722,2.02e+09
48.707,2.7422,2.02e+09
48.707,2.6122,2.02e+09
48.707,2.4822,2.02e+09
48.707,2.3522,2.02e+09
48.707,2.2222,2.02e+09
48.707,2.0922,2.02e+09
48.707,1.9622,2.02e+09
48.707,1.8322,2.02e+09
48.657,3.0022,2.02e+09
48.657,2.8722,2.02e+09
48.657,2.7422,2.02e+09
48.657,2.6122,2.02e+09
48.657,2.4822,2.02e+09
48.657,2.3522,2.02e+09
48.657,2.2222,2.02e+09
48.657,2.0922,2.02e+09
48.657,1.9622,2.02e+09
48.657,1.8322,2.02e+09
